,AGE,DRIVING_EXPERIENCE,CREDIT_SCORE,VEHICLE_OWNERSHIP,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,sports car,minority,before 2015,male,ENCODED_EDUCATION,ENCODED_INCOME
123,32.5,14.5,0.5036589704487734,1.0,0.0,1.0,10000.0,1,2,0,0.0,0,0,1,0,0.0,2.0
124,32.5,14.5,0.5158128096027941,0.0,0.0,0.0,12000.0,2,0,0,0.0,0,0,1,0,1.0,2.0
125,72.5,45.0,0.7264400018455291,1.0,1.0,1.0,7000.0,2,0,3,0.0,0,0,0,1,2.0,3.0
126,20.5,4.5,0.2444900931240796,0.0,0.0,1.0,11697.003206900365,0,0,0,1.0,0,0,1,0,0.0,0.0
127,20.5,4.5,0.5757707974509628,1.0,0.0,0.0,11000.0,0,0,0,1.0,0,0,1,1,2.0,2.0
128,20.5,4.5,0.5158128096027941,0.0,0.0,0.0,10000.0,0,0,0,1.0,1,0,1,1,1.0,0.0
129,20.5,4.5,0.468671965728324,1.0,0.0,1.0,9000.0,0,0,0,1.0,0,0,0,1,2.0,1.0
130,72.5,24.5,0.6970834558464781,0.0,0.0,1.0,13000.0,3,0,2,0.0,0,0,0,1,2.0,3.0
131,52.0,24.5,0.5429181079423034,1.0,0.0,0.0,15000.0,1,1,0,0.0,0,0,1,0,1.0,1.0
132,72.5,45.0,0.6722562535141292,1.0,1.0,1.0,9000.0,4,1,2,0.0,0,0,1,1,1.0,3.0
133,20.5,4.5,0.3864066185703315,0.0,0.0,0.0,8000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
134,20.5,4.5,0.5512978330713669,1.0,1.0,1.0,12000.0,0,0,0,1.0,0,0,1,1,2.0,2.0
135,52.0,24.5,0.5985570254244251,0.0,1.0,0.0,14000.0,4,1,4,0.0,0,0,0,1,1.0,2.0
136,32.5,14.5,0.5158128096027941,0.0,1.0,1.0,11697.003206900365,0,0,1,0.0,0,0,1,0,0.0,1.0
137,52.0,24.5,0.5824219946087406,1.0,1.0,1.0,11000.0,2,0,1,0.0,0,0,0,0,1.0,3.0
138,32.5,14.5,0.540182723180248,1.0,1.0,1.0,11697.003206900365,0,0,1,0.0,0,1,1,0,1.0,2.0
139,72.5,24.5,0.6330139475122963,1.0,0.0,1.0,14000.0,3,1,4,0.0,0,0,0,1,2.0,3.0
140,52.0,24.5,0.552204630296896,1.0,1.0,0.0,12000.0,6,0,3,0.0,0,0,0,1,1.0,2.0
141,32.5,4.5,0.3266816101781183,0.0,0.0,0.0,16000.0,0,0,0,1.0,0,0,1,0,2.0,2.0
142,52.0,24.5,0.5880825424047316,1.0,1.0,1.0,13000.0,7,1,1,0.0,0,1,1,1,1.0,2.0
143,72.5,4.5,0.7022748020975709,0.0,1.0,1.0,10000.0,0,0,0,1.0,0,0,1,0,2.0,3.0
144,72.5,4.5,0.7266055391975765,1.0,0.0,1.0,13000.0,0,0,0,0.0,0,0,1,0,2.0,3.0
145,32.5,14.5,0.5158128096027941,0.0,1.0,1.0,12000.0,3,2,3,1.0,0,0,1,1,2.0,1.0
146,72.5,45.0,0.73238212135242,1.0,1.0,1.0,12000.0,5,1,5,0.0,0,0,1,1,2.0,3.0
147,20.5,4.5,0.2012839211827758,1.0,0.0,0.0,12000.0,0,0,0,1.0,0,0,1,0,0.0,0.0
148,32.5,14.5,0.4641607076311848,0.0,0.0,0.0,16000.0,0,1,0,0.0,0,0,1,1,2.0,2.0
149,52.0,24.5,0.6579677428053038,1.0,1.0,0.0,13000.0,1,0,1,0.0,0,0,0,0,2.0,3.0
150,72.5,45.0,0.6002161554309658,1.0,1.0,1.0,13000.0,5,2,4,0.0,0,0,1,1,2.0,3.0
151,72.5,45.0,0.6663760181644964,1.0,1.0,1.0,12000.0,3,0,7,0.0,0,0,0,1,2.0,3.0
152,32.5,4.5,0.4031472802313768,1.0,1.0,1.0,10000.0,0,0,0,0.0,0,0,1,1,1.0,1.0
153,72.5,24.5,0.4169350441301069,1.0,0.0,1.0,13000.0,5,1,5,0.0,0,0,1,1,2.0,3.0
154,72.5,45.0,0.5948797136778915,1.0,1.0,1.0,8000.0,10,0,1,0.0,1,0,1,0,0.0,3.0
155,32.5,14.5,0.3804265034620669,0.0,1.0,1.0,16000.0,1,0,1,0.0,0,1,1,1,0.0,0.0
156,20.5,4.5,0.5158128096027941,0.0,0.0,0.0,14000.0,0,0,0,1.0,0,0,1,0,0.0,0.0
157,72.5,45.0,0.680617632406099,1.0,1.0,1.0,12000.0,1,2,2,0.0,0,0,1,0,2.0,3.0
158,52.0,4.5,0.3559504699938693,1.0,0.0,1.0,16000.0,0,0,0,1.0,0,1,1,1,1.0,1.0
159,52.0,14.5,0.5158128096027941,1.0,0.0,1.0,10000.0,2,0,0,0.0,0,0,1,0,0.0,2.0
160,72.5,45.0,0.587831426389767,1.0,1.0,0.0,11697.003206900365,3,0,1,0.0,1,1,0,0,1.0,3.0
161,72.5,14.5,0.5733880426029547,1.0,1.0,1.0,10000.0,0,0,2,0.0,0,0,0,0,2.0,3.0
162,20.5,4.5,0.2964062828237805,1.0,0.0,0.0,13000.0,0,0,0,1.0,0,0,1,1,2.0,2.0
163,72.5,14.5,0.4295096986208441,1.0,1.0,1.0,10000.0,1,0,4,0.0,0,0,1,1,2.0,3.0
164,72.5,45.0,0.6885687186194461,1.0,0.0,1.0,11000.0,2,0,0,0.0,0,0,0,0,2.0,3.0
165,72.5,24.5,0.700017431968704,1.0,0.0,1.0,13000.0,1,0,1,0.0,0,0,0,0,2.0,3.0
166,32.5,14.5,0.4495886310379405,0.0,0.0,1.0,11697.003206900365,0,0,1,1.0,1,0,1,1,2.0,1.0
167,52.0,24.5,0.6900455818778344,1.0,1.0,0.0,11000.0,2,1,1,0.0,0,0,0,0,2.0,3.0
168,52.0,14.5,0.4960298730510012,1.0,0.0,0.0,13000.0,0,0,1,0.0,0,1,0,0,2.0,1.0
169,32.5,14.5,0.6563457625165399,0.0,1.0,1.0,6000.0,8,0,0,0.0,0,0,0,1,2.0,3.0
170,52.0,4.5,0.4983566259941653,1.0,0.0,1.0,12000.0,0,0,0,0.0,0,0,0,1,1.0,2.0
171,20.5,4.5,0.5463825431033477,1.0,1.0,1.0,12000.0,0,0,0,0.0,0,0,1,0,2.0,2.0
172,52.0,14.5,0.3158628767091658,1.0,0.0,1.0,11000.0,0,0,1,0.0,0,0,1,0,1.0,1.0
173,32.5,14.5,0.5300643171181573,1.0,0.0,0.0,11697.003206900365,1,0,2,1.0,0,0,1,1,0.0,1.0
174,32.5,14.5,0.3578391720711443,1.0,0.0,1.0,12000.0,1,0,0,1.0,0,0,1,0,1.0,1.0
175,72.5,14.5,0.672756052841708,1.0,1.0,1.0,9000.0,1,0,2,0.0,0,0,0,1,2.0,3.0
176,52.0,24.5,0.7419993760301162,1.0,0.0,1.0,11697.003206900365,2,0,2,0.0,0,0,0,1,2.0,3.0
177,72.5,45.0,0.6226519789949738,1.0,1.0,1.0,11000.0,1,0,0,0.0,0,0,0,0,2.0,3.0
178,20.5,4.5,0.4801406677163008,0.0,0.0,0.0,14000.0,0,0,0,1.0,0,0,0,0,1.0,2.0
179,72.5,45.0,0.6787954309829434,1.0,1.0,1.0,11000.0,5,1,3,0.0,0,0,0,1,2.0,3.0
180,72.5,45.0,0.5158128096027941,1.0,1.0,1.0,10000.0,13,1,6,0.0,0,0,1,1,2.0,3.0
181,52.0,24.5,0.5152467080125883,1.0,0.0,1.0,12000.0,2,0,1,0.0,0,0,0,0,2.0,3.0
182,32.5,14.5,0.4899205986325767,1.0,0.0,1.0,13000.0,3,0,1,0.0,0,0,1,1,0.0,1.0
183,72.5,45.0,0.4219579486132668,1.0,0.0,1.0,11000.0,4,0,6,0.0,0,0,1,1,1.0,2.0
184,52.0,24.5,0.5843548496662949,1.0,0.0,0.0,11697.003206900365,1,0,2,0.0,0,0,1,1,2.0,3.0
185,20.5,4.5,0.5158128096027941,0.0,0.0,0.0,9000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
186,72.5,45.0,0.5581569698935803,1.0,0.0,1.0,14000.0,0,0,0,0.0,0,0,0,0,1.0,3.0
187,20.5,4.5,0.19414954837432,0.0,1.0,0.0,12000.0,0,0,0,1.0,1,0,1,1,1.0,0.0
188,20.5,4.5,0.300497330390378,0.0,0.0,0.0,13000.0,0,0,0,1.0,0,0,1,1,1.0,0.0
189,52.0,24.5,0.6670906918498556,1.0,1.0,1.0,7000.0,4,0,0,0.0,0,0,0,0,2.0,3.0
190,52.0,4.5,0.6130724079074048,1.0,1.0,0.0,11697.003206900365,0,0,0,1.0,0,0,1,1,1.0,3.0
191,52.0,14.5,0.5158128096027941,1.0,1.0,0.0,11000.0,3,0,2,0.0,0,0,0,1,2.0,3.0
192,32.5,14.5,0.5952817629709132,1.0,1.0,1.0,8000.0,1,0,1,0.0,0,1,1,1,1.0,2.0
193,32.5,4.5,0.3482357882933829,0.0,1.0,1.0,7000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
194,32.5,14.5,0.3566396714745861,1.0,1.0,1.0,8000.0,3,0,1,0.0,0,0,0,1,1.0,1.0
195,32.5,14.5,0.3486591269429803,0.0,1.0,0.0,12000.0,0,0,0,1.0,0,0,1,0,0.0,1.0
196,52.0,4.5,0.5594684860915574,1.0,0.0,1.0,12000.0,0,0,0,1.0,0,0,1,1,1.0,2.0
197,20.5,4.5,0.514483730987584,0.0,0.0,0.0,12000.0,0,0,0,1.0,0,0,1,1,1.0,0.0
198,52.0,24.5,0.5626384060668865,1.0,0.0,1.0,13000.0,2,1,0,0.0,0,0,0,0,2.0,3.0
199,52.0,24.5,0.5717246252857962,1.0,0.0,1.0,15000.0,2,2,1,0.0,0,0,1,1,2.0,2.0
200,72.5,45.0,0.6510078690171576,1.0,1.0,1.0,12000.0,5,0,2,0.0,0,0,0,0,2.0,3.0
201,20.5,4.5,0.3707348173567914,1.0,0.0,0.0,12000.0,0,0,0,1.0,0,0,1,1,2.0,1.0
202,20.5,4.5,0.3051450776813433,1.0,0.0,0.0,14000.0,0,0,0,0.0,0,0,1,1,1.0,0.0
203,32.5,14.5,0.5744144216758436,1.0,0.0,0.0,11697.003206900365,2,0,5,1.0,0,0,1,1,2.0,3.0
204,32.5,14.5,0.4500145680826032,1.0,0.0,1.0,13000.0,1,0,1,0.0,0,0,1,0,2.0,2.0
205,32.5,14.5,0.6364490959261638,1.0,1.0,1.0,11697.003206900365,0,1,4,0.0,0,0,1,1,2.0,3.0
206,72.5,45.0,0.4576717029360895,0.0,1.0,1.0,11697.003206900365,4,0,8,0.0,0,0,1,1,2.0,3.0
207,32.5,4.5,0.3357473732007096,0.0,0.0,1.0,15000.0,0,0,0,1.0,0,1,1,0,1.0,0.0
208,32.5,14.5,0.3186947648911332,0.0,0.0,1.0,11697.003206900365,1,2,0,0.0,1,0,1,0,0.0,0.0
209,32.5,14.5,0.5578403271955679,1.0,1.0,1.0,10000.0,2,0,0,0.0,0,0,0,1,2.0,3.0
210,20.5,4.5,0.1924274124285441,0.0,0.0,1.0,11000.0,0,0,0,1.0,0,0,1,0,0.0,1.0
211,32.5,14.5,0.3528243251354439,0.0,1.0,1.0,11000.0,6,1,3,1.0,1,0,1,1,2.0,1.0
212,72.5,4.5,0.647569234863379,0.0,1.0,1.0,11000.0,0,0,0,1.0,0,0,0,0,2.0,3.0
213,20.5,4.5,0.4572362634438549,1.0,0.0,0.0,10000.0,0,0,0,0.0,0,0,0,0,1.0,2.0
214,32.5,14.5,0.5042469291759577,1.0,0.0,1.0,13000.0,0,0,1,0.0,0,0,1,1,0.0,2.0
215,20.5,4.5,0.3749625006784157,1.0,0.0,1.0,15000.0,0,0,0,1.0,0,0,1,1,1.0,0.0
216,20.5,4.5,0.6603156212983624,1.0,0.0,1.0,11000.0,0,0,0,0.0,1,0,1,0,2.0,3.0
217,52.0,24.5,0.4169178873741152,1.0,0.0,1.0,12000.0,3,0,0,0.0,0,0,1,0,1.0,3.0
218,32.5,14.5,0.6350840347750659,1.0,1.0,0.0,17000.0,0,1,0,0.0,0,0,1,0,1.0,3.0
219,32.5,14.5,0.4049288507406456,1.0,1.0,1.0,11000.0,2,0,0,0.0,0,0,1,1,1.0,2.0
